"Points:0","Points:1","Points:2"
0.25,0.49999994,0
0.249998,0.5,1
0.25,0.49999994,1
0.249998,0.5,0
0.265625,0.49965045,1
0.265625,0.49965045,0
0.28125,0.49931186,1
0.28125,0.49931186,0
0.296875,0.49898642,1
0.296875,0.49898642,0
0.3125,0.49867567,1
0.3125,0.49867567,0
0.328125,0.49838093,1
0.328125,0.49838093,0
0.34375,0.49810469,1
0.34375,0.49810469,0
0.359375,0.49784818,1
0.359375,0.49784818,0
0.375,0.49761394,1
0.375,0.49761394,0
0.390625,0.49740279,1
0.390625,0.49740279,0
0.40625,0.49721706,1
0.40625,0.49721706,0
0.421875,0.49705726,1
0.421875,0.49705726,0
0.4375,0.49692526,1
0.4375,0.49692526,0
0.453125,0.49682131,1
0.453125,0.49682131,0
0.46875,0.49674681,1
0.46875,0.49674681,0
0.484375,0.49670163,1
0.484375,0.49670163,0
0.5,0.49668676,1
0.5,0.49668676,0
0.515625,0.49670163,1
0.515625,0.49670163,0
0.53125,0.49674681,1
0.53125,0.49674681,0
0.546875,0.49682131,1
0.546875,0.49682131,0
0.5625,0.49692526,1
0.5625,0.49692526,0
0.578125,0.49705726,1
0.578125,0.49705726,0
0.59375,0.49721706,1
0.59375,0.49721706,0
0.609375,0.49740279,1
0.609375,0.49740279,0
0.625,0.49761394,1
0.625,0.49761394,0
0.640625,0.49784818,1
0.640625,0.49784818,0
0.65625,0.49810469,1
0.65625,0.49810469,0
0.671875,0.49838093,1
0.671875,0.49838093,0
0.6875,0.49867567,1
0.6875,0.49867567,0
0.703125,0.49898642,1
0.703125,0.49898642,0
0.71875,0.49931186,1
0.71875,0.49931186,0
0.734375,0.49965045,1
0.734375,0.49965045,0
0.75,0.49999994,1
0.75,0.49999994,0
0.75000203,0.5,0
0.75000203,0.5,1
0,0.50331336,1
0.015625,0.50329846,1
0,0.50331336,0
0.015625,0.50329846,0
0.03125,0.50325328,1
0.03125,0.50325328,0
0.046875,0.50317878,1
0.046875,0.50317878,0
0.0625,0.50307477,1
0.0625,0.50307477,0
0.078125,0.5029428,1
0.078125,0.5029428,0
0.09375,0.50278294,1
0.09375,0.50278294,0
0.109375,0.50259721,1
0.109375,0.50259721,0
0.125,0.50238603,1
0.125,0.50238603,0
0.140625,0.50215179,1
0.140625,0.50215179,0
0.15625,0.50189525,1
0.15625,0.50189525,0
0.171875,0.50161904,1
0.171875,0.50161904,0
0.1875,0.50132424,1
0.1875,0.50132424,0
0.203125,0.50101352,1
0.203125,0.50101352,0
0.21875,0.50068808,1
0.21875,0.50068808,0
0.234375,0.50034946,1
0.234375,0.50034946,0
0.765625,0.50034946,1
0.765625,0.50034946,0
0.78125,0.50068808,1
0.78125,0.50068808,0
0.796875,0.50101352,1
0.796875,0.50101352,0
0.8125,0.50132424,1
0.8125,0.50132424,0
0.828125,0.50161904,1
0.828125,0.50161904,0
0.84375,0.50189525,1
0.84375,0.50189525,0
0.859375,0.50215179,1
0.859375,0.50215179,0
0.875,0.50238603,1
0.875,0.50238603,0
0.890625,0.50259721,1
0.890625,0.50259721,0
0.90625,0.50278294,1
0.90625,0.50278294,0
0.921875,0.5029428,1
0.921875,0.5029428,0
0.9375,0.50307477,1
0.9375,0.50307477,0
0.953125,0.50317878,1
0.953125,0.50317878,0
0.96875,0.50325328,1
0.96875,0.50325328,0
0.984375,0.50329846,1
0.984375,0.50329846,0
1,0.50331336,1
1,0.50331336,0
