"Points:0","Points:1","Points:2"
0.265625,0.49947754,0
0.25000083,0.5,1
0.265625,0.49947754,1
0.25000083,0.5,0
0.28125,0.49896002,1
0.28125,0.49896002,0
0.296875,0.49845204,1
0.296875,0.49845204,0
0.3125,0.49795917,1
0.3125,0.49795917,0
0.328125,0.49748582,1
0.328125,0.49748582,0
0.34375,0.49703658,1
0.34375,0.49703658,0
0.359375,0.49661601,1
0.359375,0.49661601,0
0.375,0.4962278,1
0.375,0.4962278,0
0.390625,0.49587619,1
0.390625,0.49587619,0
0.40625,0.4955641,1
0.40625,0.4955641,0
0.421875,0.49529496,1
0.421875,0.49529496,0
0.4375,0.49507102,1
0.4375,0.49507102,0
0.453125,0.49489471,1
0.453125,0.49489471,0
0.46875,0.49476749,1
0.46875,0.49476749,0
0.484375,0.49469072,1
0.484375,0.49469072,0
0.5,0.494665,1
0.5,0.494665,0
0.515625,0.49469072,1
0.515625,0.49469072,0
0.53125,0.49476749,1
0.53125,0.49476749,0
0.546875,0.49489471,1
0.546875,0.49489471,0
0.5625,0.49507102,1
0.5625,0.49507102,0
0.578125,0.49529496,1
0.578125,0.49529496,0
0.59375,0.4955641,1
0.59375,0.4955641,0
0.609375,0.49587619,1
0.609375,0.49587619,0
0.625,0.4962278,1
0.625,0.4962278,0
0.640625,0.49661601,1
0.640625,0.49661601,0
0.65625,0.49703658,1
0.65625,0.49703658,0
0.671875,0.49748582,1
0.671875,0.49748582,0
0.6875,0.49795917,1
0.6875,0.49795917,0
0.703125,0.49845204,1
0.703125,0.49845204,0
0.71875,0.49896005,1
0.71875,0.49896005,0
0.734375,0.49947751,1
0.734375,0.49947751,0
0.75,0.49999994,1
0.75,0.49999994,0
0.75000137,0.5,0
0.75000137,0.5,1
0,0.50533491,1
0.015625,0.50530922,1
0,0.50533491,0
0.015625,0.50530922,0
0.03125,0.50523245,1
0.03125,0.50523245,0
0.046875,0.50510526,1
0.046875,0.50510526,0
0.0625,0.50492895,1
0.0625,0.50492895,0
0.078125,0.50470501,1
0.078125,0.50470501,0
0.09375,0.5044359,1
0.09375,0.5044359,0
0.109375,0.50412381,1
0.109375,0.50412381,0
0.125,0.5037722,1
0.125,0.5037722,0
0.140625,0.50338399,1
0.140625,0.50338399,0
0.15625,0.50296348,1
0.15625,0.50296348,0
0.171875,0.50251424,1
0.171875,0.50251424,0
0.1875,0.50204086,1
0.1875,0.50204086,0
0.203125,0.50154799,1
0.203125,0.50154799,0
0.21875,0.50103998,1
0.21875,0.50103998,0
0.234375,0.50052249,1
0.234375,0.50052249,0
0.25,0.5,1
0.25,0.5,0
0.765625,0.50052249,1
0.765625,0.50052249,0
0.78125,0.50104004,1
0.78125,0.50104004,0
0.796875,0.50154799,1
0.796875,0.50154799,0
0.8125,0.50204086,1
0.8125,0.50204086,0
0.828125,0.50251424,1
0.828125,0.50251424,0
0.84375,0.50296348,1
0.84375,0.50296348,0
0.859375,0.50338399,1
0.859375,0.50338399,0
0.875,0.5037722,1
0.875,0.5037722,0
0.890625,0.50412381,1
0.890625,0.50412381,0
0.90625,0.5044359,1
0.90625,0.5044359,0
0.921875,0.50470501,1
0.921875,0.50470501,0
0.9375,0.50492895,1
0.9375,0.50492895,0
0.953125,0.50510526,1
0.953125,0.50510526,0
0.96875,0.50523245,1
0.96875,0.50523245,0
0.984375,0.50530922,1
0.984375,0.50530922,0
1,0.50533491,1
1,0.50533491,0
