"Points:0","Points:1","Points:2"
0.13892901,0.00089296873,0
0.13892901,0.00089296873,0.0099999998
0.13923,0,0
0.13923,0,0.0099999998
0.13841015,0.0015184771,0
0.13815479,0.0017859375,0.0099999998
0.13841015,0.0015184771,0.0099999998
0.13815479,0.0017859375,0
0.13751718,0.0023636525,0
0.1371275,0.0026789063,0.0099999998
0.13751718,0.0023636525,0.0099999998
0.1371275,0.0026789063,0
0.13662422,0.0030665649,0
0.13578027,0.0035718749,0.0099999998
0.13662422,0.0030665649,0.0099999998
0.13578027,0.0035718749,0
0.13483828,0.0040693739,0
0.13401158,0.0044648438,0.0099999998
0.13483828,0.0040693739,0.0099999998
0.13401158,0.0044648438,0
0.13573125,0.0036041613,0.0099999998
0.13573125,0.0036041613,0
0.13215938,0.0053446307,0
0.13213389,0.0053578126,0.0099999998
0.13215938,0.0053446307,0.0099999998
0.13213389,0.0053578126,0
0.13305235,0.0049195415,0.0099999998
0.13305235,0.0049195415,0
0.13394532,0.0044996771,0.0099999998
0.13394532,0.0044996771,0
0.13037343,0.006150323,0
0.13013285,0.0062507815,0.0099999998
0.13037343,0.006150323,0.0099999998
0.13013285,0.0062507815,0
0.1312664,0.0057600709,0.0099999998
0.1312664,0.0057600709,0
0.1285875,0.0068825665,0
0.12786025,0.0071437499,0.0099999998
0.1285875,0.0068825665,0.0099999998
0.12786025,0.0071437499,0
0.12948047,0.0065108188,0.0099999998
0.12948047,0.0065108188,0
0.1259086,0.0078426665,0
0.12522437,0.0080367187,0.0099999998
0.1259086,0.0078426665,0.0099999998
0.12522437,0.0080367187,0
0.12680157,0.0075054988,0.0099999998
0.12680157,0.0075054988,0
0.12769453,0.0072055603,0.0099999998
0.12769453,0.0072055603,0
0.12233672,0.008889976,0
0.12194474,0.0089296876,0.0099999998
0.12233672,0.008889976,0.0099999998
0.12194474,0.0089296876,0
0.12322969,0.0086440435,0.0099999998
0.12322969,0.0086440435,0
0.12412266,0.0083348183,0.0099999998
0.12412266,0.0083348183,0
0.12501563,0.0080970125,0.0099999998
0.12501563,0.0080970125,0
0.10804922,0.0097563975,0
0.10754763,0.0098226564,0.0099999998
0.10804922,0.0097563975,0.0099999998
0.10754763,0.0098226564,0
0.10894219,0.0096557327,0.0099999998
0.10894219,0.0096557327,0
0.10983516,0.0095716342,0.0099999998
0.10983516,0.0095716342,0
0.11072812,0.00950405,0.0099999998
0.11072812,0.00950405,0
0.1116211,0.0094495751,0.0099999998
0.1116211,0.0094495751,0
0.11251406,0.0094001088,0.0099999998
0.11251406,0.0094001088,0
0.11340703,0.0093489047,0.0099999998
0.11340703,0.0093489047,0
0.1143,0.0093044685,0.0099999998
0.1143,0.0093044685,0
0.11519297,0.0092854463,0.0099999998
0.11519297,0.0092854463,0
0.11608594,0.0092891771,0.0099999998
0.11608594,0.0092891771,0
0.11697891,0.0092812842,0.0099999998
0.11697891,0.0092812842,0
0.11787187,0.0092216814,0.0099999998
0.11787187,0.0092216814,0
0.11876485,0.0091136601,0.0099999998
0.11876485,0.0091136601,0
0.11965781,0.0090148253,0.0099999998
0.11965781,0.0090148253,0
0.12055078,0.0089793373,0.0099999998
0.12055078,0.0089793373,0
0.12144375,0.0089791063,0.0099999998
0.12144375,0.0089791063,0
0.1026914,0.010587199,0
0.101985,0.010715625,0.0099999998
0.1026914,0.010587199,0.0099999998
0.101985,0.010715625,0
0.10358437,0.010433243,0.0099999998
0.10358437,0.010433243,0
0.10447735,0.010285315,0.0099999998
0.10447735,0.010285315,0
0.10537031,0.010142754,0.0099999998
0.10537031,0.010142754,0
0.10626328,0.010004793,0.0099999998
0.10626328,0.010004793,0
0.10715625,0.0098746866,0.0099999998
0.10715625,0.0098746866,0
0.098226562,0.011489091,0
0.097711526,0.011608594,0.0099999998
0.098226562,0.011489091,0.0099999998
0.097711526,0.011608594,0
0.099119529,0.011292337,0.0099999998
0.099119529,0.011292337,0
0.1000125,0.011102766,0.0099999998
0.1000125,0.011102766,0
0.10090547,0.010921489,0.0099999998
0.10090547,0.010921489,0
0.10179844,0.010750509,0.0099999998
0.10179844,0.010750509,0
0.094654687,0.012353767,0
0.094093502,0.012501563,0.0099999998
0.094654687,0.012353767,0.0099999998
