"Points:0","Points:1","Points:2"
0.001304056,1.966667,-3.260141e-05
0,1.966396,0
0.001304056,1.966667,3.260141e-05
0.03333334,1.973473,0.0008333334
0.03333334,1.973473,-0.0008333334
0.05835787,2,-0.001458947
0.05835787,2,0.001458947
0.06503242,2.033333,0.00162581
0.06503242,2.033333,-0.00162581
0.05367791,2.066667,0.001341948
0.05367791,2.066667,-0.001341948
0.03333334,2.086513,-0.0008333334
0.03333334,2.086513,0.0008333334
0,2.097782,0
0.02101918,2.166667,-0.0005254794
0,2.155917,0
0.02101918,2.166667,0.0005254794
0.03333334,2.175076,0.0008333334
0.03333334,2.175076,-0.0008333334
0.05366481,2.2,-0.00134162
0.05366481,2.2,0.00134162
0.04871413,2.233333,0.001217853
0.04871413,2.233333,-0.001217853
0.03333334,2.245207,-0.0008333334
0.03333334,2.245207,0.0008333334
0,2.252316,0
1.5,2.46433,-0.0375
1.488704,2.466667,0.0372176
1.5,2.46433,0.0375
1.488704,2.466667,-0.0372176
1.533333,2.459022,0.03833333
1.533333,2.459022,-0.03833333
1.566667,2.455223,0.03916667
1.566667,2.455223,-0.03916667
1.6,2.453038,0.04
1.6,2.453038,-0.04
1.633333,2.452488,0.04083333
1.633333,2.452488,-0.04083333
1.666667,2.453501,0.04166667
1.666667,2.453501,-0.04166667
1.7,2.455922,0.0425
1.7,2.455922,-0.0425
1.733333,2.459516,0.04333333
1.733333,2.459516,-0.04333333
1.766667,2.463964,0.04416667
1.766667,2.463964,-0.04416667
1.78417,2.466667,-0.04460425
1.78417,2.466667,0.04460425
1.366667,2.498199,-0.03416667
1.36134,2.5,0.0340335
1.366667,2.498199,0.03416667
1.36134,2.5,-0.0340335
1.4,2.488324,0.035
1.4,2.488324,-0.035
1.433333,2.479177,0.03583333
1.433333,2.479177,-0.03583333
1.466667,2.471172,0.03666667
1.466667,2.471172,-0.03666667
1.8,2.469121,0.045
1.8,2.469121,-0.045
1.833333,2.474619,0.04583333
1.833333,2.474619,-0.04583333
1.866667,2.480302,0.04666667
1.866667,2.480302,-0.04666667
1.9,2.485867,0.0475
1.9,2.485867,-0.0475
1.933333,2.491029,0.04833333
1.933333,2.491029,-0.04833333
1.966667,2.495621,0.04916667
1.966667,2.495621,-0.04916667
2,2.499571,0.05
2,2.499571,-0.05
2.004334,2.5,-0.05010834
2.004334,2.5,0.05010834
2.366667,2.498929,-0.05916667
2.344786,2.5,0.05861966
2.366667,2.498929,0.05916667
2.344786,2.5,-0.05861966
2.4,2.497569,0.06
2.4,2.497569,-0.06
2.433333,2.496561,0.06083333
2.433333,2.496561,-0.06083333
2.466667,2.495951,0.06166667
2.466667,2.495951,-0.06166667
2.5,2.495741,0.0625
2.5,2.495741,-0.0625
2.533333,2.495876,0.06333333
2.533333,2.495876,-0.06333333
2.566667,2.496257,0.06416667
2.566667,2.496257,-0.06416667
2.6,2.496785,0.065
2.6,2.496785,-0.065
2.633333,2.497364,0.06583333
2.633333,2.497364,-0.06583333
2.666667,2.497913,0.06666667
2.666667,2.497913,-0.06666667
2.7,2.498374,0.0675
2.7,2.498374,-0.0675
2.733333,2.498714,0.06833334
2.733333,2.498714,-0.06833334
2.766667,2.498925,0.06916667
2.766667,2.498925,-0.06916667
2.8,2.499015,0.07
2.8,2.499015,-0.07
2.833333,2.499012,0.07083333
2.833333,2.499012,-0.07083333
2.866667,2.49895,0.07166667
2.866667,2.49895,-0.07166667
2.9,2.498863,0.0725
2.9,2.498863,-0.0725
2.933333,2.498777,0.07333333
2.933333,2.498777,-0.07333333
2.966667,2.498713,0.07416666
2.966667,2.498713,-0.07416666
3,2.49868,0.075
3,2.49868,-0.075
3.033333,2.498677,0.07583334
3.033333,2.498677,-0.07583334
3.066667,2.498697,0.07666667
3.066667,2.498697,-0.07666667
3.1,2.49873,0.0775
3.1,2.49873,-0.0775
3.133333,2.498769,0.07833333
3.133333,2.498769,-0.07833333
3.166667,2.498807,0.07916667
3.166667,2.498807,-0.07916667
3.2,2.49884,0.08
3.2,2.49884,-0.08
3.233333,2.498868,0.08083333
3.233333,2.498868,-0.08083333
3.266667,2.498889,0.08166666
3.266667,2.498889,-0.08166666
3.3,2.498906,0.0825
3.3,2.498906,-0.0825
3.333333,2.49892,0.08333334
3.333333,2.49892,-0.08333334
3.366667,2.498931,0.08416667
3.366667,2.498931,-0.08416667
3.4,2.498942,0.085
3.4,2.498942,-0.085
3.433333,2.498952,0.08583333
3.433333,2.498952,-0.08583333
3.466667,2.498962,0.08666667
3.466667,2.498962,-0.08666667
3.5,2.498973,0.0875
3.5,2.498973,-0.0875
3.533333,2.498983,0.08833333
3.533333,2.498983,-0.08833333
3.566667,2.498994,0.08916666
3.566667,2.498994,-0.08916666
3.6,2.499003,0.09
3.6,2.499003,-0.09
3.633333,2.499013,0.09083334
