"Points:0","Points:1","Points:2"
0.47333333,0.71997792,0
0.47333333,0.71997792,1
0.47314748,0.72000003,1
0.47314748,0.72000003,0
0.47999999,0.71936345,1
0.47999999,0.71936345,0
0.48666668,0.71891391,1
0.48666668,0.71891391,0
0.49333334,0.71863991,1
0.49333334,0.71863991,0
0.5,0.7185483,1
0.5,0.7185483,0
0.50666666,0.71863991,1
0.50666666,0.71863991,0
0.51333332,0.71891391,1
0.51333332,0.71891391,0
0.51999998,0.71936345,1
0.51999998,0.71936345,0
0.52666664,0.71997792,1
0.52666664,0.71997792,0
0.52685249,0.72000003,0
0.52685249,0.72000003,1
0.44,0.72535169,0
0.44,0.72535169,1
0.43424574,0.72666669,1
0.43424574,0.72666669,0
0.44666666,0.72397786,1
0.44666666,0.72397786,0
0.45333335,0.72275311,1
0.45333335,0.72275311,0
0.46000001,0.7216773,1
0.46000001,0.7216773,0
0.46666667,0.72075158,1
0.46666667,0.72075158,0
0.53333336,0.72075158,1
0.53333336,0.72075158,0
0.54000002,0.7216773,1
0.54000002,0.7216773,0
0.54666668,0.72275311,1
0.54666668,0.72275311,0
0.55333334,0.72397786,1
0.55333334,0.72397786,0
0.56,0.72535169,1
0.56,0.72535169,0
0.56575429,0.72666669,0
0.56575429,0.72666669,1
0.41333333,0.73230439,0
0.41333333,0.73230439,1
0.41016403,0.73333335,1
0.41016403,0.73333335,0
0.41999999,0.73035443,1
0.41999999,0.73035443,0
0.42666668,0.72854042,1
0.42666668,0.72854042,0
0.43333334,0.72688484,1
0.43333334,0.72688484,0
0.56666666,0.72688484,1
0.56666666,0.72688484,0
0.57333332,0.72854042,1
0.57333332,0.72854042,0
0.57999998,0.73035443,1
0.57999998,0.73035443,0
0.58666664,0.73230439,1
0.58666664,0.73230439,0
0.58983594,0.73333335,0
0.58983594,0.73333335,1
0.39333335,0.73911172,0
0.39333335,0.73911172,1
0.39114416,0.74000001,1
0.39114416,0.74000001,0
0.40000001,0.73671383,1
0.40000001,0.73671383,0
0.40666667,0.73446733,1
0.40666667,0.73446733,0
0.5933333,0.73446733,1
0.5933333,0.73446733,0
0.60000002,0.73671383,1
0.60000002,0.73671383,0
0.60666668,0.73911172,1
0.60666668,0.73911172,0
